Name,State,FIPS,Geo Unit,Pop Density,Area (sqmi),Population,Pop Bucket,Total Miles,Total Miles per Cap,Miles per Cap Bucket,Biking Total Miles,Carpool Total Miles,TNC Total Miles,Private Auto Total Miles,Transit Total Miles,Walking Total Miles,Vehicle Total Miles,Active Total Miles,Biking per Cap Miles,Carpool per Cap Miles,TNC per Cap Miles,Private Auto per Cap Miles,Transit per Cap Miles,Walking per Cap Miles,Vehicle per Cap Miles,Active per Cap Miles,% Transit Miles,% Active Miles,% Vehicle Miles
"Kings County, NY", NY,36047,county,21581.80,96.80050202,2089129,j) 1000000+,32358027.2,15.489,b) 10-19,410702.453,7863614.191,932274.958,7265554.979,15233825.23,652055.384,16061444.13,1062757.838,0.197,3.764,0.446,3.478,7.292,0.312,7.688,0.509,0.471,0.033,0.496
"Bronx County, NY", NY,36005,county,19198.54,57.4057821,1102107,j) 1000000+,18289213.41,16.595,b) 10-19,84012.578,4634918.872,520508.525,4504717.381,8239999.764,305056.292,9660144.778,389068.87,0.076,4.206,0.472,4.087,7.477,0.277,8.765,0.353,0.451,0.021,0.528
"New York County, NY", NY,36061,county,42502.43,33.54907271,1425917,j) 1000000+,18377439.06,12.888,b) 10-19,205719.013,5243966.928,1198487.291,3090258.729,8004078.417,634928.68,9532712.948,840647.692,0.144,3.678,0.841,2.167,5.613,0.445,6.685,0.59,0.436,0.046,0.519
"Queens County, NY", NY,36081,county,10721.37,177.9917737,1908316,j) 1000000+,38800828.11,20.332,c) 20-29,200147.633,12089661.82,943600.619,13543181.2,11459121.58,565115.261,26576443.64,765262.894,0.105,6.335,0.494,7.097,6.005,0.296,13.927,0.401,0.295,0.02,0.685
"Richmond County, NY", NY,36085,county,3767.95,102.1698074,384971,i) 250000-999999,10577664.49,27.477,c) 20-29,40112.2,3632833.856,195141.139,5040367.242,1595384.745,73825.312,8868342.236,113937.512,0.104,9.437,0.507,13.093,4.144,0.192,23.036,0.296,0.151,0.011,0.838
"Hudson County, NJ", NJ,34017,county,9109.61,62.23645144,566950,i) 250000-999999,13081374.48,23.073,c) 20-29,219000.005,5124212.248,328431.652,5441129.589,1690043.299,278557.686,10893773.49,497557.691,0.386,9.038,0.579,9.597,2.981,0.491,19.215,0.878,0.129,0.038,0.833
"San Francisco County, CA", CA,06075,county,3224.50,231.7633378,747322,i) 250000-999999,18545719.44,24.816,c) 20-29,444734.575,6465287.609,321047.056,8547181.156,2362004.562,405464.478,15333515.82,850199.053,0.595,8.651,0.43,11.437,3.161,0.543,20.518,1.138,0.127,0.046,0.827
"Westchester County, NY", NY,36119,county,1562.29,499.3327639,780102,i) 250000-999999,27165684.84,34.823,d) 30-39,75410.994,9035266.971,1146815.994,14042019.84,2576413.797,289757.241,24224102.81,365168.235,0.097,11.582,1.47,18,3.303,0.371,31.052,0.468,0.095,0.013,0.892
"Suffolk County, MA", MA,25025,county,5508.12,120.0269117,661123,i) 250000-999999,14019797.85,21.206,c) 20-29,234936.006,5158828.293,267036.786,6666605.088,1257596.277,434795.4,12092470.17,669731.406,0.355,7.803,0.404,10.084,1.902,0.658,18.291,1.013,0.09,0.048,0.863
"Essex County, NJ", NJ,34013,county,5014.21,129.4700319,649190,i) 250000-999999,18101774.24,27.884,c) 20-29,53513.313,7068872.355,383183.457,8800327.711,1607994.456,187882.951,16252383.52,241396.264,0.082,10.889,0.59,13.556,2.477,0.289,25.035,0.372,0.089,0.013,0.898
"District of Columbia, DC", DC,11001,county,8171.86,68.28478682,558014,i) 250000-999999,11993766,21.494,c) 20-29,482793.586,4587933.884,331201.15,5152234.422,1052690.677,386912.279,10071369.46,869705.865,0.865,8.222,0.594,9.233,1.886,0.693,18.049,1.559,0.088,0.073,0.84
"Philadelphia County, PA", PA,42101,county,8755.64,142.5561156,1248170,j) 1000000+,29832479.6,23.901,c) 20-29,361374.707,11882644.77,435075.686,14048674.7,2638570.606,466139.134,26366395.15,827513.841,0.29,9.52,0.349,11.255,2.114,0.373,21.124,0.663,0.088,0.028,0.884
"Nassau County, NY", NY,36059,county,2407.90,452.6822603,1090014,j) 1000000+,33728903.79,30.944,d) 30-39,42882.715,11528459.75,1126171.928,18483285.78,2301136.861,246966.755,31137917.46,289849.47,0.039,10.576,1.033,16.957,2.111,0.227,28.567,0.266,0.068,0.009,0.923
"Baltimore city, MD", MD,24510,county,5112.81,91.96857006,470218,i) 250000-999999,12064872.6,25.658,c) 20-29,57805.094,3486879.984,233829.505,7485855.947,635649.387,164852.682,11206565.44,222657.776,0.123,7.415,0.497,15.92,1.352,0.351,23.833,0.474,0.053,0.018,0.929
"Union County, NJ", NJ,34039,county,4147.53,105.2737148,436626,i) 250000-999999,13944765.59,31.938,d) 30-39,42952.807,6128922.351,199650.087,6739790.327,725185.134,108264.883,13068362.77,151217.69,0.098,14.037,0.457,15.436,1.661,0.248,29.93,0.346,0.052,0.011,0.937
"Mercer County, NJ", NJ,34021,county,1321.87,228.6313899,302220,i) 250000-999999,10793998.16,35.716,d) 30-39,41415.457,4079319.839,74167.733,5946809.505,543174.666,109110.955,10100297.08,150526.412,0.137,13.498,0.245,19.677,1.797,0.361,33.42,0.498,0.05,0.014,0.936
"Bergen County, NJ", NJ,34003,county,3042.65,246.3553187,749572,i) 250000-999999,22810720.98,30.432,d) 30-39,70717.363,7595224.609,355459.724,13487248.29,1102925.036,199145.959,21437932.62,269863.322,0.094,10.133,0.474,17.993,1.471,0.266,28.6,0.36,0.048,0.012,0.94
"Middlesex County, NJ", NJ,34023,county,2079.40,322.4522816,670506,i) 250000-999999,25548649.69,38.104,d) 30-39,69260.573,10904095.74,405492.341,12809088.08,1174646.727,186066.229,24118676.16,255326.802,0.103,16.262,0.605,19.104,1.752,0.278,35.971,0.381,0.046,0.01,0.944
